,loss,batchsize,lr,beta1,n_disc,Lambda
0,5.783163842555162,256.0,9.491637252283713e-05,0.4333182201737892,8.0,1.661320524926066
1,7.386973061130406,1024.0,4.5722205142188366e-05,0.6411347470594572,4.0,2.4051588788725065
2,7.758881332297478,2048.0,1.3778905351571899e-05,0.4650987205730026,5.0,2.2667941234356266
3,7.801331369704587,256.0,5.1651811590182914e-05,0.8420740438908744,9.0,2.8391146147581074
4,9.4642033494214,128.0,6.262841286327614e-05,0.6485939737407608,9.0,6.531685379864414
5,10.570414387095221,1024.0,6.275162997662798e-05,0.5371267063474878,8.0,10.25697404368097
6,11.56675377751863,256.0,6.603258087490638e-05,0.7144874799948826,9.0,4.289253516390341
7,12.41589106492732,512.0,2.1663963665600777e-05,0.7662181269002168,6.0,4.623603704954711
8,13.10641498293248,128.0,2.1064381188492738e-05,0.5220478491750189,7.0,5.384722060287842
9,14.199428183671793,128.0,1.6947021979606102e-05,0.5815441811959037,8.0,6.001181289223899
10,14.978523118823741,128.0,1.6842321477745143e-05,0.7669154788140902,3.0,1.8511381571763552
11,15.037333772306132,2048.0,2.2872258306243854e-05,0.8068273936698848,6.0,14.95660913150605
12,15.0676093441578,256.0,1.0925859146761754e-05,0.639949788700402,8.0,2.548644186996763
13,17.735180749371708,128.0,1.5004097882148647e-05,0.8724310766472464,4.0,3.3069302632431556
14,18.6775549959995,256.0,2.147108124374943e-05,0.7091689846056629,9.0,12.450292400324699
15,21.355175946282564,1024.0,1.6668239347221418e-05,0.4362248719229831,5.0,14.771889044628344
16,22.453303648760475,128.0,0.00020483977341615787,0.1836039181804624,5.0,6.666538983552217
17,22.93547479655193,128.0,1.2416087004933758e-05,0.11082957569068433,6.0,5.556563797008931
18,23.479573076459374,512.0,1.222462024472731e-05,0.940987883048428,5.0,18.593232965217872
19,24.594340760537072,128.0,0.0010503632095055654,0.13831201384561057,8.0,14.545400224117879
20,27.00522630383165,512.0,1.4336978013982015e-05,0.28982022605103086,7.0,12.770601438562704
21,28.21645467974326,128.0,1.899485221659777e-05,0.49497045288963293,6.0,13.186543349174647
22,28.861114665677015,256.0,1.108254825712687e-05,0.7536943399581145,9.0,17.36466224504519
23,29.10193650407621,256.0,0.00016271190003649217,0.7804335713419144,4.0,1.6066549660372866
24,29.93487010348525,1024.0,0.0009450636081222781,0.14173671675769475,8.0,9.223687249129634
25,30.344988286696854,128.0,1.436545572799893e-05,0.22148389195785048,6.0,13.392672246138275
26,30.393055255681247,128.0,2.270965733562168e-05,0.1546850047958138,6.0,17.229918628792113
27,30.710715917723277,256.0,0.0001635455753101,0.5169484660785552,7.0,4.015984842652918
28,34.07345369869121,1024.0,3.8744262472872735e-05,0.5769809286171925,6.0,14.771020742076415
29,35.19352159542576,512.0,0.0015585494144566964,0.39686052718002185,8.0,17.088576552143362
30,37.50219046201387,256.0,7.145331528740862e-05,0.35754677042285166,7.0,9.788937800368952
31,37.66812470985853,2048.0,6.004553419786743e-05,0.2946734454523457,6.0,12.418970590795839
32,40.0858400323862,128.0,5.7463376155044296e-05,0.9896480951601815,9.0,5.687269942093579
33,41.63142110191314,2048.0,4.1885250751790984e-05,0.1930430814781012,8.0,18.155995066133528
34,46.42955768599248,256.0,0.0004065052844005416,0.6100437840355796,6.0,13.69808750089978
35,46.4412691452946,128.0,0.00047178665606308756,0.11120398063619101,9.0,4.987383852734523
36,48.10315077863515,2048.0,0.0006210774537234574,0.6367999548169653,5.0,18.62397154346751
37,48.92879220770879,1024.0,6.73067476470872e-05,0.7118871349166067,3.0,13.776526650530489
38,49.150622753576314,512.0,4.871553669360854e-05,0.8800873807415487,6.0,8.823418414846433
39,50.91899763181912,1024.0,0.0010863770061326973,0.6139500527207694,9.0,17.642165064308667
40,51.322768747199476,2048.0,0.0003500668733087102,0.3062540036461111,7.0,2.376906699332657
41,51.75771417507485,2048.0,0.0006394167827617759,0.17450768280151985,7.0,1.6145838722756625
42,52.59413610012813,128.0,0.0006873712200087824,0.20808934729690481,3.0,2.467180608730237
43,52.847918374234396,128.0,9.545436170795361e-05,0.7187958275201868,3.0,18.390356260943722
44,55.508206835771254,256.0,0.0007339129679113899,0.6088240143847472,9.0,7.5438450230997045
45,57.81670389682566,2048.0,0.0007030370094600738,0.49372840062863,3.0,14.482487337695222
46,58.88732065386618,128.0,0.000795125537691985,0.23331276549714425,6.0,17.679774305948015
47,59.226014110891406,512.0,4.988184370711921e-05,0.13971853527397365,4.0,19.948212428140902
48,59.517532324861506,128.0,5.642707586763335e-05,0.8225185755864897,3.0,8.152518971982538
49,59.936505836244926,2048.0,0.0001057765647191774,0.4457523934973553,5.0,17.05049094219875
50,61.6161588086757,128.0,0.00030048194035870194,0.3998348372303323,5.0,6.273304860194998
51,63.74560285085707,2048.0,0.0008910766944910346,0.4897679322790386,4.0,6.9179257671055545
52,66.452002970955,512.0,6.981648565388666e-05,0.5832727662650973,5.0,18.936426364566962
53,67.80782809727751,1024.0,0.0005875762437183714,0.6726899865306714,6.0,8.164256745032223
54,67.90009764624838,512.0,5.0746952203278084e-05,0.7462944139687936,4.0,8.644082312788463
55,67.93507005343423,256.0,0.00029666240077939947,0.6536873407483498,8.0,10.289580395887777
56,68.2960897493155,256.0,0.00047564184749231483,0.5620894386539881,8.0,8.030531640214912
57,68.65223513959371,256.0,0.000589127400446508,0.49836683809538285,6.0,1.906678553060027
58,69.05622806818461,512.0,0.00013570359446686764,0.5765960522376513,9.0,19.364208511264057
59,69.22526346310343,256.0,6.034436619637241e-05,0.398711506466929,4.0,18.054174344307068
60,69.45110238267755,128.0,9.001907614700352e-05,0.548731450438582,3.0,18.542113889894182
61,71.55446661245564,256.0,0.00013962141511681677,0.6144347122683869,8.0,16.106123094465026
62,72.53079272343848,128.0,0.0001,0.5,5.0,10.0
63,74.4954947934102,1024.0,7.159340561150073e-05,0.8257514627376037,5.0,8.17049895145079
64,74.7937162992099,2048.0,8.328280374048875e-05,0.5059129745664511,5.0,9.682755568940125
